year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2012-11-04,134170.6527272982,811317.0460685232,2135158.5307212477,4486814.324011158,3611056.3599508046,129828.05482260267
2012-11-05,134172.88129444286,811305.4059297335,2135247.040337104,4487015.773145435,3611191.775099,129814.52399360591
2012-11-06,134175.04518547034,811294.1403111985,2135336.9273949196,4487221.0677886065,3611330.305529381,129801.06922828684
2012-11-07,134177.14440038064,811283.2492129186,2135428.191894695,4487430.207940671,3611471.9512419486,129787.69052664546
2012-11-08,134179.17893917375,811272.7326348933,2135520.8338364298,4487643.193601629,3611616.7122367024,129774.38788868174
2012-11-09,134181.14880184972,811262.5905771231,2135614.8532201243,4487860.024771481,3611764.5885136435,129761.16131439571
2012-11-10,134183.0539884085,811252.8230396076,2135710.250045778,4488080.701450225,3611915.5800727694,129748.01080378737
2012-11-11,134184.89449885013,811243.430022347,2135807.0243133917,4488305.223637864,3612069.6869140826,129734.93635685674
2012-11-12,134186.67033317452,811234.4115253411,2135905.176022964,4488533.591334393,3612226.9090375807,129721.93797360372
2012-11-13,134188.3814913818,811225.7675485903,2136004.705174497,4488765.804539819,3612387.2464432665,129709.01565402844
2012-11-14,134190.02797347185,811217.4980920943,2136105.611767988,4489001.863254136,3612550.6991311377,129696.1693981308
2012-11-15,134191.60977944479,811209.6031558532,2136207.8958034404,4489241.767477348,3612717.2671011956,129683.39920591089
2012-11-16,134193.1269093005,811202.0827398668,2136311.557280851,4489485.517209453,3612886.950353439,129670.70507736864
2012-11-17,134194.57936303905,811194.9368441354,2136416.596200221,4489733.112450451,3613059.7488878695,129658.08701250407
2012-11-18,134195.96714066048,811188.1654686588,2136523.0125615518,4489984.553200343,3613235.6627044855,129645.54501131718
2012-11-19,134197.29024216472,811181.7686134372,2136630.8063648413,4490239.839459129,3613414.691803289,129633.079073808
2012-11-20,134198.54866755175,811175.7462784703,2136739.9776100903,4490498.971226806,3613596.836184277,129620.68919997645
2012-11-21,134199.74241682162,811170.0984637581,2136850.5262972987,4490761.948503377,3613782.0958474525,129608.37538982261
2012-11-22,134200.8714899743,811164.8251693009,2136962.4524264666,4491028.771288842,3613970.470792814,129596.13764334645
2012-11-23,134201.93588700984,811159.9263950987,2137075.7559975944,4491299.439583201,3614161.961020362,129583.97596054798
2012-11-24,134202.93560792817,811155.4021411511,2137190.4370106813,4491573.953386452,3614356.5665300954,129571.89034142719
2012-11-25,134203.87065272935,811151.2524074587,2137306.4954657285,4491852.312698597,3614554.287322016,129559.8807859841
2012-11-26,134204.74102141336,811147.4771940209,2137423.931362734,4492134.517519635,3614755.123396122,129547.94729421865
2012-11-27,134205.5467139802,811144.0765008382,2137542.7447017003,4492420.567849567,3614959.074752415,129536.08986613093
2012-11-28,134206.28773042985,811141.0503279101,2137662.9354826254,4492710.463688392,3615166.141390894,129524.30850172084
2012-11-29,134206.96407076233,811138.398675237,2137784.5037055104,4493004.205036111,3615376.3233115594,129512.6032009885
2012-11-30,134207.57573497764,811136.1215428187,2137907.4493703544,4493301.791892723,3615589.6205144105,129500.97396393381
2012-12-01,134208.1227230758,811134.2189306554,2138031.7724771583,4493603.224258228,3615806.0329994485,129489.42079055679
2012-12-02,134208.60503505674,811132.6908387467,2138157.4730259217,4493908.502132626,3616025.5607666722,129477.94368085745
2012-12-03,134209.02267092053,811131.5372670931,2138284.5510166446,4494217.625515918,3616248.203816083,129466.5426348358
2012-12-04,134209.37563066714,811130.7582156942,2138413.006449327,4494530.594408103,3616473.962147679,129455.21765249183
2012-12-05,134209.6639142966,811130.3536845503,2138542.839323969,4494847.408809182,3616702.8357614623,129443.96873382558
2012-12-06,134209.88752180885,811130.3236736611,2138674.0496405703,4495168.068719155,3616934.824657431,129432.79587883697
2012-12-07,134210.04645320398,811130.668183027,2138806.6373991314,4495492.57413802,3617169.9288355866,129421.69908752607
2012-12-08,134210.14070848186,811131.3872126475,2138940.6025996516,4495820.925065778,3617408.148295928,129410.67835989282
2012-12-09,134210.17028764263,811132.4807625229,2139075.9452421316,4496153.12150243,3617649.4830384552,129399.73369593728
2012-12-10,134210.13519068618,811133.9488326532,2139212.665326571,4496489.163447976,3617893.933063169,129388.86509565939
2012-12-11,134210.0354176126,811135.7914230385,2139350.7628529705,4496829.050902415,3618141.4983700695,129378.0725590592
