year,r_under_0.1,r_0.2-0.4,r_0.5-0.7,r_0.8-1.0,r_1.1-1.5,r_1.6-2.0
2011-05-23,145910.66421955408,820547.1821772776,2084381.939850824,4459812.26470324,3562304.2792706387,125611.04353654313
2011-05-24,145857.35964372984,820591.5946588882,2084642.6097061073,4460344.890480625,3562683.0647475384,125579.7561997312
2011-05-25,145804.16302476684,820635.7865544856,2084902.5254177472,4460875.612051931,3563060.3301080638,125548.49960798335
2011-05-26,145751.0743626653,820679.7578640702,2085161.6869857453,4461404.429417159,3563436.0753522147,125517.27376129967
2011-05-27,145698.0936574251,820723.5085876421,2085420.094410101,4461931.342576309,3563810.300479991,125486.0786596801
2011-05-28,145645.22090904624,820767.038725201,2085677.747690814,4462456.351529379,3564183.0054913927,125454.91430312468
2011-05-29,145592.45611752875,820810.3482767474,2085934.6468278854,4462979.456276373,3564554.19038642,125423.78069163342
2011-05-30,145539.7992828726,820853.4372422803,2086190.7918213138,4463500.656817286,3564923.855165072,125392.67782520622
2011-05-31,145487.25040507788,820896.3056218008,2086446.1826711004,4464019.953152123,3565291.9998273505,125361.60570384322
2011-06-01,145434.80948414444,820938.9534153083,2086700.819377244,4464537.345280879,3565658.624373254,125330.56432754433
2011-06-02,145382.47652007238,820981.380622803,2086954.7019397458,4465052.83320356,3566023.7288027834,125299.5536963096
2011-06-03,145330.2515128617,821023.5872442847,2087207.8303586047,4465566.416920158,3566387.3131159376,125268.57381013897
2011-06-04,145278.13446251236,821065.5732797536,2087460.204633822,4466078.096430681,3566749.377312717,125237.6246690325
2011-06-05,145226.1253690244,821107.3387292097,2087711.8247653963,4466587.871735124,3567109.9213931225,125206.70627299017
2011-06-06,145174.2242323978,821148.883592653,2087962.6907533288,4467095.74283349,3567468.9453571537,125175.81862201195
2011-06-07,145122.43105263254,821190.2078700833,2088212.8025976187,4467601.709725776,3567826.4492048095,125144.96171609788
2011-06-08,145070.74582972866,821231.3115615007,2088462.1602982655,4468105.772411983,3568182.4329360905,125114.1355552479
2011-06-09,145019.16856368617,821272.1946669053,2088710.7638552715,4468607.930892114,3568536.8965509986,125083.34013946212
2011-06-10,144967.69925450502,821312.857186297,2088958.6132686343,4469108.185166164,3568889.8400495313,125052.57546874046
2011-06-11,144916.3379021852,821353.2991196759,2089205.7085383546,4469606.5352341365,3569241.263431689,125021.8415430829
2011-06-12,144865.08450672677,821393.5204670419,2089452.0496644329,4470102.981096031,3569591.166697473,124991.13836248952
2011-06-13,144813.93906812966,821433.521228395,2089697.6366468687,4470597.522751846,3569939.5498468815,124960.46592696026
2011-06-14,144762.90158639394,821473.3014037353,2089942.4694856622,4471090.160201584,3570286.412879915,124929.8242364951
2011-06-15,144711.9720615196,821512.860993063,2090186.5481808137,4471580.893445243,3570631.7557965755,124899.21329109413
2011-06-16,144661.1504935066,821552.1999963773,2090429.872732322,4472069.722482824,3570975.57859686,124868.63309075724
2011-06-17,144610.436882355,821591.3184136793,2090672.443140189,4472556.647314325,3571317.881280772,124838.08363548454
2011-06-18,144559.8312280647,821630.2162449678,2090914.2594044127,4473041.667939749,3571658.663848307,124807.56492527593
2011-06-19,144509.33353063575,821668.8934902438,2091155.321524995,4473524.784359094,3571997.926299469,124777.07696013148
2011-06-20,144458.9437900682,821707.350149507,2091395.6295019344,4474005.99657236,3572335.668634256,124746.61974005116
2011-06-21,144408.66200636202,821745.5862227571,2091635.1833352312,4474485.304579548,3572671.8908526683,124716.19326503495
2011-06-22,144358.4881795172,821783.6017099946,2091873.983024886,4474962.708380657,3573006.592954706,124685.79753508291
2011-06-23,144308.42230953375,821821.3966112192,2092112.0285708986,4475438.207975689,3573339.77494037,124655.43255019498
2011-06-24,144258.46439641164,821858.9709264309,2092349.319973269,4475911.803364642,3573671.436809659,124625.0983103712
2011-06-25,144208.61444015088,821896.3246556296,2092585.8572319965,4476383.494547515,3574001.5785625726,124594.79481561155
2011-06-26,144158.8724407515,821933.4577988154,2092821.640347082,4476853.281524311,3574330.200199112,124564.52206591601
2011-06-27,144109.23839821343,821970.3703559885,2093056.6693185251,4477321.164295029,3574657.3017192776,124534.28006128463
2011-06-28,144059.7123125368,822007.0623271487,2093290.9441463258,4477787.142859668,3574982.8831230677,124504.06880171738
2011-06-29,144010.29418372147,822043.533712296,2093524.464830484,4478251.217218228,3575306.944410484,124473.88828721427
2011-06-30,143960.98401176755,822079.7845114305,2093757.2313710002,4478713.387370709,3575629.4855815256,124443.73851777529
2011-07-01,143911.78179667494,822115.8147245523,2093989.2437678738,4479173.653317113,3575950.5066361926,124413.61949340046
2011-07-02,143862.68753844374,822151.624351661,2094220.5020211053,4479632.015057438,3576270.0075744847,124383.53121408974
2011-07-03,143813.70123707384,822187.2133927569,2094451.0061306942,4480088.472591685,3576587.9883964024,124353.47367984317
2011-07-04,143764.82289256534,822222.5818478398,2094680.756096641,4480543.025919853,3576904.4491019454,124323.44689066072
2011-07-05,143716.05250491822,822257.7297169102,2094909.7519189457,4480995.675041944,3577219.389691115,124293.45084654243
2011-07-06,143667.39007413245,822292.6569999674,2095137.9935976076,4481446.419957954,3577532.810163909,124263.48554748825
2011-07-07,143618.83560020803,822327.3636970117,2095365.4811326268,4481895.260667887,3577844.7105203285,124233.5509934982
2011-07-08,143570.38908314495,822361.8498080433,2095592.2145240041,4482342.197171741,3578155.090760373,124203.64718457231
2011-07-09,143522.05052294326,822396.1153330622,2095818.1937717395,4482787.229469517,3578463.950884044,124173.77412071056
2011-07-10,143473.81991960295,822430.1602720679,2096043.418875832,4483230.357561214,3578771.2908913395,124143.9318019129
2011-07-11,143425.69727312395,822463.9846250609,2096267.889836282,4483671.581446834,3579077.110782261,124114.12022817941
2011-07-12,143377.68258350634,822497.588392041,2096491.6066530903,4484110.901126374,3579381.410556808,124084.33939951005
2011-07-13,143329.7758507501,822530.9715730082,2096714.569326256,4484548.316599837,3579684.1902149804,124054.58931590483
2011-07-14,143281.97707485518,822564.1341679626,2096936.777855779,4484983.827867218,3579985.449756778,124024.86997736372
2011-07-15,143234.28625582167,822597.0761769043,2097158.23224166,4485417.434928524,3580285.189182201,123995.18138388677
2011-07-16,143186.70339364948,822629.797599833,2097378.932483899,4485849.137783752,3580583.40849125,123965.52353547394
2011-07-17,143139.22848833865,822662.2984367487,2097598.878582495,4486278.936432898,3580880.1076839236,123935.89643212524
2011-07-18,143091.8615398892,822694.5786876517,2097818.070537449,4486706.830875969,3581175.286760223,123906.30007384068
2011-07-19,143044.6025483011,822726.6383525417,2098036.5083487607,4487132.821112961,3581468.9457201483,123876.73446062027
2011-07-20,142997.4515135744,822758.4774314191,2098254.19201643,4487556.907143873,3581761.0845636986,123847.19959246399
2011-07-21,142950.40843570902,822790.0959242834,2098471.1215404565,4487979.088968707,3582051.703290874,123817.69546937183
2011-07-22,142903.47331470504,822821.4938311349,2098687.2969208416,4488399.366587464,3582340.8019016758,123788.22209134382
2011-07-23,142856.6461505624,822852.6711519734,2098902.7181575834,4488817.740000141,3582628.3803961026,123758.77945837993
2011-07-24,142809.9269432811,822883.6278867993,2099117.3852506834,4489234.209206739,3582914.4387741555,123729.36757048022
2011-07-25,142763.31569286116,822914.3640356121,2099331.2982001407,4489648.7742072595,3583198.977035832,123699.98642764456
2011-07-26,142716.81239930258,822944.8795984122,2099544.457005956,4490061.435001702,3583481.995181135,123670.63602987309
2011-07-27,142670.41706260538,822975.1745751993,2099756.861668129,4490472.191590065,3583763.493210064,123641.31637716573
2011-07-28,142624.12968276956,823005.2489659737,2099968.51218666,4490881.043972352,3584043.471122618,123612.02746952254
